		V;NFIN
aguneian	uganar	V;SBJV;PRS;1;PL
aguneias	uganar	V;SBJV;PRS;2;PL
aguno	uganar	V.PTCP;PST;MASC;SG
agunos	uganar	V.PTCP;PST;MASC;PL
agunànd	uganar	V.PTCP;PRS
agùn	uganar	V;IND;PRS;1;SG
agùna	uganar	V;IMP;2;SG
agùnan	uganar	V;IND;PRS;3;PL
agùnas	uganar	V;SBJV;PRS;2;SG
agùnel	uganar	V;IND;PRS;1;SG
agùni	uganar	V;SBJV;PRS;3;SG
agùnian	uganar	V;SBJV;PRS;3;PL
agùnias	uganar	V;SBJV;PRS;2;SG
ampal	palar	V;IND;PRS;1;SG
ampala	palar	V;IMP;2;SG
ampalad	palar	V;IMP;2;PL
ampalada	palar	V.PTCP;PST;FEM;SG
ampaladas	palar	V.PTCP;PST;FEM;PL
ampalagn	palar	V;IND;PRS;1;PL
ampalan	palar	V;IND;PRS;3;PL
ampalar	palar	V;IND;FUT;1;SG
ampalas	palar	V;IND;PRS;2;SG
ampalass	palar	V;COND;1;SG
ampalassan	palar	V;COND;3;PL
ampalassas	palar	V;COND;2;PL
ampalava	palar	V;IND;PST;3;SG;IPFV
ampalavan	palar	V;IND;PST;3;PL;IPFV
ampalavas	palar	V;IND;PST;2;PL;IPFV
ampalaz	palar	V;IND;PRS;2;PL
ampaleian	palar	V;SBJV;PRS;1;PL
ampaleias	palar	V;SBJV;PRS;2;PL
ampalel	palar	V;IND;PRS;1;SG
ampali	palar	V;SBJV;PRS;3;SG
ampalian	palar	V;SBJV;PRS;3;PL
ampalias	palar	V;SBJV;PRS;2;SG
ampalo	palar	V.PTCP;PST;MASC;SG
ampalos	palar	V.PTCP;PST;MASC;PL
ampalànd	palar	V.PTCP;PRS
an	ear	V;SBJV;PRS;3;PL
an	er	V;IND;PRS;3;PL
an	ir	V;SBJV;PRS;3;PL
an	r	V;SBJV;PRS;3;PL
ancadagn	cadanar	V;IND;PRS;1;SG
ancadagna	cadanar	V;IMP;2;SG
ancadagnan	cadanar	V;IND;PRS;3;PL
ancadagnas	cadanar	V;SBJV;PRS;2;SG
ancadagnel	cadanar	V;IND;PRS;1;SG
ancadagni	cadanar	V;SBJV;PRS;1;SG
ancadagnian	cadanar	V;SBJV;PRS;3;PL
ancadagnias	cadanar	V;SBJV;PRS;2;SG
ancadanad	cadanar	V;IMP;2;PL
ancadanada	cadanar	V.PTCP;PST;FEM;SG
ancadanadas	cadanar	V.PTCP;PST;FEM;PL
ancadanagn	cadanar	V;IND;PRS;1;PL
ancadanar	cadanar	V;IND;FUT;3;SG
ancadanass	cadanar	V;COND;1;SG
ancadanassan	cadanar	V;COND;3;PL
ancadanassas	cadanar	V;COND;2;SG
ancadanava	cadanar	V;IND;PST;1;SG;IPFV
ancadanavan	cadanar	V;IND;PST;3;PL;IPFV
ancadanavas	cadanar	V;IND;PST;2;SG;IPFV
