		N;MASC;SG
s-scorsa	-scorsa	N;MASC;PL
s-scut	-scut	N;FEM;PL
s-seghel	-seghel	N;MASC;PL
s-serp	-serp	N;MASC;PL
s-spatla	-spatla	N;MASC;PL
s-spungia	-spungia	N;MASC;PL
s-staila	-staila	N;MASC;PL
s-stailalva	-stailalva	N;FEM;PL
s-staziun	-staziun	N;MASC;PL
s-stiva	-stiva	N;MASC;PL
s-sulegl	-sulegl	N;MASC;PL
s-tgil	-tgil	N;FEM;PL
s-tgiralla	-tgiralla	N;MASC;PL
s-torso	-torso	N;MASC;PL
s-trapla	-trapla	N;FEM;PL
s-tschep	-tschep	N;FEM;PL
s-tscherver	-tscherver	N;MASC;PL
s-tschierv	-tschierv	N;MASC;PL
s-turnigl	-turnigl	N;MASC;PL
s-uigl	-uigl	N;FEM;PL
s-valisch	-valisch	N;MASC;PL
s-volley	-volley	N;FEM;PL
s-vulp	-vulp	N;FEM;PL
s-web	-web	N;FEM;PL
s-zain	-zain	N;MASC;PL
spazis	locals	N;MASC;PL
stradas	vias	N;MASC;PL
ta		N;FEM;SG
