		N;MASC;SG
ra	a	N;FEM;SG
ra	ar	N;FEM;SG
ra	car	N;FEM;SG
ra	er	N;FEM;SG
ra	ser	N;FEM;SG
ra	ter	N;FEM;SG
ramọzza	antermozza	N;FEM;SG
rarịa	aria	N;FEM;SG
ras	ers	None
rattamunạida	arattamunạida	N;FEM;SG
ravulạda	barbulada	N;FEM;SG
raṣulạna	uzlạna	N;FEM;SG
rbirọula	vroula	N;FEM;SG
rẹssa	̣ra	N;FEM;SG
rnẹra	ornẹr	N;FEM;SG
rplịda	ndella	N;FEM;SG
rọ̈la	dịna	N;FEM;SG
rụ̈ṣcha	ischa	N;FEM;SG
rẹzza	ezza	N;FEM;SG
rẹṣus	factur	N;MASC;PL
rịa		N;FEM;SG
rọja	duoira	N;FEM;SG
s		N;FEM;PL
s, fazọus		N;MASC;PL
s-chandunạda	chandunạda	N;FEM;SG
s-web	-web	N;FEM;PL
s/uschọus		N;MASC;PL
s/uzọus		N;MASC;PL
s/uṣọus		N;MASC;PL
sbaccunạda	baccunạda	N;FEM;SG
schamflẹchs	tschanflechs	N;MASC;PL
schanajamọngias	mongetta	N;FEM;PL
scharạda	tscharada	N;FEM;SG
schintschignịda	rebla	N;FEM;SG
schmanchạnza	invlidạnza	N;FEM;SG
scuidạnza	malscuidạnza	N;FEM;SG
scundunạda	chandunạda	N;FEM;SG
sitạts	ṣità	N;FEM;PL
sm		N;FEM;SG
ssa	zza	N;FEM;SG
suọlla	raṣạina	N;FEM;SG
sạdra	ṣạder	N;FEM;SG
tabladụ̈ra	intabladüra	N;FEM;SG
tegnanọtas	portanotas	N;FEM;PL
trụ̈fla	sfüfla	N;FEM;SG
ts		N;MASC;PL
tscharẹlla	schirella	N;FEM;SG
tschavẹras	ṣvẹra	N;FEM;PL
tschirẹlla	schirella	N;FEM;SG
tschiọmbla	schiombla	N;FEM;SG
tschạmbers	schọmbers	N;MASC;PL
tschịspa	atschịspa	N;FEM;SG
tschụrma	schụrma	N;FEM;SG
tạts	a	N;MASC;PL
tẹzza	maint	N;FEM;SG
umbrẹlla	parasul	N;FEM;SG
undẹlla	ondẹlla	N;FEM;SG
ụ̈na	ụ̈m	N;FEM;SG
ụra	ụra	N;MASC;PL
uọrs	ụr	N;MASC;PL
uọs	ruọs-chel	N;MASC;PL
uọttas	iottas	N;FEM;PL
va	a	N;FEM;SG
va	uva	N;FEM;SG
vra	ivra	N;FEM;SG
vọuta	jạda	N;FEM;SG
za	tscha	N;FEM;SG
zạda		N;FEM;SG
zza	ntscha	N;FEM;SG
zạina	magöl	N;FEM;SG
zịa	tura	N;FEM;SG
zịspa	tschịspa	N;FEM;SG
äṣarịna	asarịna	N;FEM;SG
ïda	gịda	N;FEM;SG
ọ̈gna	ügna	N;FEM;SG
üchẹts	öchẹts	N;MASC;PL
üertạts	ụ̈ertà	N;FEM;PL
ụ̈cha	ọ̈cha	N;FEM;SG
ụ̈rcha	ọ̈rcha	N;FEM;SG
üṣạdra	usader	N;FEM;SG
̣ctra	ctorẹssa	N;FEM;SG
̣la	li	N;FEM;SG
̣ls	l	N;MASC;PL
̣mạdra	mạder	N;FEM;SG
̣ppa	p	N;FEM;SG
̣rla	rl	N;FEM;SG
̣rs	r	N;MASC;PL
̣s	̀	N;MASC;PL
̣tla	ttel	N;FEM;SG
̣ts	̣̀	N;FEM;PL
ṣa	s	N;FEM;SG
ṣbagnatschạda	sbognatschada	N;FEM;SG
ṣbavụs	sbavarin	N;MASC;PL
ṣboffạts	sboffà	N;MASC;PL
ṣboffạts	scuflà	N;MASC;PL
ṣbovạda	sbodada	N;FEM;SG
ṣbrọga	sbrẹga	N;FEM;SG
ṣbạita	baita	N;FEM;SG
ṣchantạdra	schantader	N;FEM;SG
ṣchọus	schöl	N;MASC;PL
ṣchurnạda	dschurnạda	N;FEM;SG
ṣchạglia	ṣchẹlla	N;FEM;SG
ṣchạts	schà	N;MASC;PL
ṣgrammẹra	sgrommer	N;FEM;SG
ṣguạita	guẹtta	N;FEM;SG
ṣgọrgna	sgorla	N;FEM;SG
ṣurtschạgls	survaschella	N;MASC;PL
ṣvanẹcla	ṣvanẹccal	N;FEM;SG
ṣvoulạda	svoulida	N;FEM;SG
ṣạdra	sader	N;FEM;SG
ṣạdra	sạder	N;FEM;SG
ṣạts	sà	N;MASC;PL
ṣạuna	zauna	N;FEM;SG
ạbgia	ạvgia	N;FEM;SG
ạcha	appa	N;FEM;SG
ạcra	aglia	N;FEM;SG
ạda	öz	N;FEM;SG
ạdra	ader	N;FEM;SG
ạdra	adur	N;FEM;SG
ạds	à	N;MASC;PL
ạglia	vel	N;FEM;SG
ạgna	ogna	N;FEM;SG
ạgna	ọgna	N;FEM;SG
ạgna	ọgna	N;FEM;SG
ạinas	ainạntas	N;FEM;PL
ạis-cha	praja	N;FEM;SG
ạls	agl	N;MASC;PL
ạma	amaziun	N;FEM;SG
ạmbra	ombra	N;FEM;SG
ạmma	omma	N;FEM;SG
ạmra	omra	N;FEM;SG
ạnda	onda	N;FEM;SG
ạnda	ọnda	N;FEM;SG
ạngia	ongia	N;FEM;SG
ạnicra	aniker	N;FEM;SG
ạnna	onna	N;FEM;SG
ạns	an	N;MASC;PL
ạnts	ant	N;MASC;PL
ạnva	onva	N;FEM;SG
ạnza	ẹntscha	N;FEM;SG
ạrds	ard	N;MASC;PL
ạs	à	N;FEM;PL
ạssa	hạscha	N;FEM;SG
ạssus	assạṣcha	N;MASC;PL
ạstra	aster	N;FEM;SG
ạtica	atcha	N;FEM;SG
ạts	ạ̀	N;MASC;PL
ạts	ità	N;FEM;PL
ạts	à	N;MASC;PL
ạussa	anzla	N;FEM;SG
ạutos	auto	N;MASC;PL
