		ADJ;MASC;SG
ẹda	o	ADJ;FEM;SG
ẹda	rọ	ADJ;FEM;SG
ẹda	ò	ADJ;FEM;SG
ẹda	ọ	ADJ;FEM;SG
ẹda giò	ọ	ADJ;FEM;SG
ẹglia	egl	ADJ;FEM;SG
ẹgna	egn	ADJ;FEM;SG
ẹiva	eiv	ADJ;FEM;SG
ẹiva	ẹiv	ADJ;FEM;SG
ẹla	el	ADJ;FEM;SG
ẹla	ẹl	ADJ;FEM;SG
ẹlgia	elg	ADJ;FEM;SG
ẹlla	el	ADJ;FEM;SG
ẹlta	elt	ADJ;FEM;SG
ẹma	em	ADJ;FEM;SG
ẹmpla	ẹmpel	ADJ;FEM;SG
ẹna	en	ADJ;FEM;SG
ẹncha	ench	ADJ;FEM;SG
ẹr	ọ	ADJ;FEM;SG
ẹra	er	ADJ;FEM;SG
ẹrma	erm	ADJ;FEM;SG
ẹrsa	ers	ADJ;FEM;SG
ẹrta	ert	ADJ;FEM;SG
ẹrza	erz	ADJ;FEM;SG
ẹsta	est	ADJ;FEM;SG
ẹṣa	es	ADJ;FEM;SG
ẹtscha	etsch	ADJ;FEM;SG
ẹtta	et	ADJ;FEM;SG
ẹzza	ez	ADJ;FEM;SG
ịcha	ich	ADJ;FEM;SG
ịcta	ict	ADJ;FEM;SG
ịera	iẹr	ADJ;FEM;SG
ịma	im	ADJ;FEM;SG
ịna	in	ADJ;FEM;SG
ịncha	inch	ADJ;FEM;SG
ịnta	int	ADJ;FEM;SG
ịscha	isch	ADJ;FEM;SG
ịsta	ist	ADJ;FEM;SG
ịsta	ẹl	ADJ;FEM;SG
ịṣa	is	ADJ;FEM;SG
ịtscha	itsch	ADJ;FEM;SG
ịtta	it	ADJ;FEM;SG
ịva	iv	ADJ;FEM;SG
ịṣcha	isch	ADJ;FEM;SG
ọa	s	ADJ;FEM;SG
ọba	ob	ADJ;FEM;SG
ọcha	och	ADJ;FEM;SG
ọcta	oct	ADJ;FEM;SG
ọda	od	ADJ;FEM;SG
ọnta	ont	ADJ;FEM;SG
ọppa	op	ADJ;FEM;SG
ọrta	ort	ADJ;FEM;SG
ọrva	orv	ADJ;FEM;SG
ọsa	os	ADJ;FEM;SG
ọscha	osch	ADJ;FEM;SG
ọssa	oss	ADJ;FEM;SG
ọsta	ost	ADJ;FEM;SG
ọta	ot	ADJ;FEM;SG
ọtta	ot	ADJ;FEM;SG
ụcca	uc	ADJ;FEM;SG
ụcta	uct	ADJ;FEM;SG
ụna	un	ADJ;FEM;SG
ụngia	ung	ADJ;FEM;SG
ụrba	urb	ADJ;FEM;SG
ụsa	uọjer	ADJ;FEM;SG
ụsas	uọjer	ADJ;FEM;PL
ụṣa	us	ADJ;FEM;SG
ụta	ut	ADJ;FEM;SG
ụtscha	utsch	ADJ;FEM;SG
ụtta	ut	ADJ;FEM;SG
ụṣa	us	ADJ;FEM;SG
