		N;MASC;SG
ransegna	uransign	N;FEM;SG
rdra	er	N;FEM;SG
riola	diola	N;FEM;SG
rlàna	tlàna	N;FEM;SG
rschla	scla	N;FEM;SG
runsegna	uransign	N;FEM;SG
s		N;FEM;PL
sa		N;FEM;SG
schmessa	(di)schmessa	N;FEM;SG
sfidànza	(di)sfidànza	N;FEM;SG
sfurata	urata	N;FEM;SG
sgagia	gagia	N;FEM;SG
sida	zida	N;FEM;SG
sétga	zetga	N;FEM;SG
tar	atar	N;FEM;SG
tardeala	(s)tardeala	N;FEM;SG
tendacalzers	(s)tendacalzers	N;MASC;PL
tna	gna	N;FEM;SG
tscha	scha	N;FEM;SG
tschos	[tschus]	N;MASC;PL
udida	iudeia	N;FEM;SG
ugniel	igniel	N;FEM;SG
ulta	òlta	N;FEM;SG
umadira	amadira	N;FEM;SG
umaglientscha	amaglientscha	N;FEM;SG
umeglia	ameglia	N;FEM;SG
unfisada	anfisada	N;FEM;SG
unschiva	(sch)unschiva	N;FEM;SG
untgida	guntgida	N;FEM;SG
upa	opa	N;FEM;SG
urblàna	arblàn	N;FEM;SG
urmessa	armessa	N;FEM;SG
urvicla	viricla	N;FEM;SG
uva	oba	N;FEM;SG
uvieada	vujeada	N;FEM;SG
uvieu	vujieu	N;FEM;SG
vardatgamona	guardatgamona	N;FEM;SG
vardatgatscha	guardacatscha	N;FEM;SG
vgia	bgia	N;FEM;SG
viglieada	guiglieada	N;FEM;SG
vila	guila	N;FEM;SG
visa	guisa	N;FEM;SG
vreia	rveia	N;FEM;SG
zargia	sargia	N;FEM;SG
ztgantada	stgantada	N;FEM;SG
zulada	sulada	N;FEM;SG
ànza	nfànza	N;FEM;SG
ùa	uja	N;FEM;SG
