		ADJ;MASC;SG
̣ta	t	ADJ;FEM;SG
̣ts		ADJ;MASC;PL
̣tscha	tsch	ADJ;FEM;SG
̣tta	t	ADJ;FEM;SG
̣vlạdas	üvlà	ADJ;FEM;PL
̣zza	z	ADJ;FEM;SG
̣ṣa	s	ADJ;FEM;SG
ṣa	s	ADJ;FEM;SG
ṣas	s	ADJ;FEM;PL
ṣcha	sch	ADJ;FEM;SG
ṣchagreạbla	schagreạbel	ADJ;FEM;SG
ṣchmanierạivla	schmanierạivel	ADJ;FEM;SG
ṣdrüạbla	sdrüạbel	ADJ;FEM;SG
ṣur	dürạnt	ADJ;FEM;SG
ṣurvịs	surverer	ADJ;MASC;PL
ṣurvịssa	surverer	ADJ;FEM;SG
ṣurvịssas	surverer	ADJ;FEM;PL
ṣạla	sạl	ADJ;FEM;SG
ṣạnta	sạnt	ADJ;FEM;SG
ạ	à	ADJ;FEM;SG
ạ	ịa	ADJ;FEM;SG
ạca	ac	ADJ;FEM;SG
ạcca	ac	ADJ;FEM;SG
ạcha	ach	ADJ;FEM;SG
ạda	ad	ADJ;FEM;SG
ạda	at	ADJ;FEM;SG
ạda	ạ̀	ADJ;FEM;SG
ạda	à	ADJ;FEM;SG
ạdas	ạ̀	ADJ;FEM;PL
ạdas	à	ADJ;FEM;PL
ạdattạda	adattà	ADJ;FEM;SG
ạdattạdas	adattà	ADJ;FEM;PL
ạdattạts	adattà	ADJ;MASC;PL
ạga	ag	ADJ;FEM;SG
ạina	aịn	ADJ;FEM;SG
ạints	aint	ADJ;MASC;PL
ạira	ạir	ADJ;FEM;SG
ạis	ender	ADJ;MASC;PL
ạisa	ender	ADJ;FEM;SG
ạisas	ender	ADJ;FEM;PL
ạiṣa	ender	ADJ;FEM;SG
ạiṣas	ender	ADJ;FEM;PL
ạla	al	ADJ;FEM;SG
ạlba	alb	ADJ;FEM;SG
ạlcha	alch	ADJ;FEM;SG
ạlma	alm	ADJ;FEM;SG
ạlva	alv	ADJ;FEM;SG
ạma	am	ADJ;FEM;SG
ạna	an	ADJ;FEM;SG
ạnca	anc	ADJ;FEM;SG
ạntscha	antsch	ADJ;FEM;SG
ạntạnta	antạnt	ADJ;FEM;SG
ạppa	ap	ADJ;FEM;SG
